id,year,name,state,district,votes,parties
2014_AL_S,2014,"Sessions, Jeff",AL,S,795606,Republican
2014_AK_S,2014,"Sullivan, Dan",AK,S,135445,Republican
2014_AK_S,2014,"Begich, Mark",AK,S,129431,Democratic
2014_AK_S,2014,"Fish, Mark S. ",AK,S,10512,Libertarian
2014_AK_S,2014,"Gianoutsos, Ted",AK,S,5636,Nonaffiliated
2014_AR_S,2014,"Cotton, Tom",AR,S,478819,Republican
2014_AR_S,2014,"Pryor, Mark",AR,S,334174,Democratic
2014_AR_S,2014,"LaFrance, Nathan",AR,S,17210,Libertarian
2014_AR_S,2014,"Swaney, Mark H.",AR,S,16797,Green
2014_AR_S,2014,"Pfleegor, Scott",AR,S,505,Write-In
2014_CO_S,2014,"Gardner, Cory",CO,S,983891,Republican
2014_CO_S,2014,"Udall, Mark",CO,S,944203,Democratic
2014_CO_S,2014,"Kent, Gaylon",CO,S,52876,Libertarian
2014_CO_S,2014,"Shogan, Steve",CO,S,29472,Unaffiliated
2014_CO_S,2014,"Acosta, Rául",CO,S,24151,Unaffiliated
2014_CO_S,2014,"Hammons, Bill",CO,S,6427,Unity Party of Colorado
2014_CO_S,2014,Willoughby,CO,S,21,Write-In
2014_CO_S,2014,"Cunningham, Kathleen Rosewater",CO,S,17,Write-In
2014_DE_S,2014,"Coons, Christopher A.",DE,S,130655,Democratic
2014_DE_S,2014,"Wade, Kevin",DE,S,98823,Republican
2014_DE_S,2014,"Groff, Andrew",DE,S,4560,Green
2014_GA_S,2014,"Perdue, David Alfred",GA,S,1358088,Republican
2014_GA_S,2014,"Nunn, Mary Michelle",GA,S,1160811,Democratic
2014_GA_S,2014,"Swafford, Amanda C.",GA,S,48862,Libertarian
2014_GA_S,2014,"Muscu, Anantha Reddy",GA,S,21,Write-In
2014_GA_S,2014,"Schroder, Mary H.",GA,S,14,Write-In
2014_GA_S,2014,"Brown, Brian Russell",GA,S,9,Write-In
2014_ID_S,2014,"Risch, Jim",ID,S,285596,Republican
2014_ID_S,2014,"Mitchell, Nels",ID,S,151574,Democratic
2014_IL_S,2014,"Durbin, Richard J.",IL,S,1929637,Democratic
2014_IL_S,2014,"Oberweis, James D. ""Jim""",IL,S,1538522,Republican
2014_IL_S,2014,"Hansen, Sharon",IL,S,135316,Libertarian
